id_candidat,id_hypothèse,borne_sup,borne_inf,resultat
13,35,20.444,15.556,18
4,35,8.6231,5.3769,7
6,35,4.6691,2.3309,3.5
6,36,2.1324,0.8676,1.5
5,36,17.9074,14.0926,16
10,36,2.1324,0.8676,1.5
3,36,14.7498,11.2502,13
9,36,2.1324,0.8676,1.5
2,36,2.7284,1.2716,2
1,36,2.7284,1.2716,2
12,36,22.0812,17.9188,20
23,36,8.3275,5.6725,7
11,36,13.6908,10.3092,12
17,36,1.5177,0.4823,1
4,36,6.134,3.866,5
8,36,0.867,0.133,0.5
15,36,1.5177,0.4823,1
7,36,15.8054,12.1946,14
16,36,1.5177,0.4823,1
4,37,9.7995,6.2005,8
5,37,11.9899,8.0101,10
3,37,19.4916,14.5084,17
12,37,29.9448,24.0552,27
10,37,1.66,0.34,1
15,37,2.3063,0.6937,1.5
6,37,2.3063,0.6937,1.5
1,37,5.2998,2.7002,4
2,37,3.5356,1.4644,2.5
9,37,5.2998,2.7002,4
7,37,16.3016,11.6984,14
8,37,1.66,0.34,1
16,37,0.9678,0.0322,0.5
11,37,9.7995,6.2005,8
3,38,19.4916,14.5084,17
10,38,1.66,0.34,1
1,38,5.2998,2.7002,4
12,38,30.9782,25.0218,28
7,38,15.2307,10.7693,13
14,38,10.3498,6.6502,8.5
2,38,4.1315,1.8685,3
4,38,9.7995,6.2005,8
9,38,5.2998,2.7002,4
16,38,1.66,0.34,1
6,38,2.3063,0.6937,1.5
11,38,10.3498,6.6502,8.5
15,38,2.3063,0.6937,1.5
8,38,1.66,0.34,1
16,39,1.6681,0.3319,1
2,39,4.734,2.266,3.5
4,39,9.8216,6.1784,8
15,39,2.94,1.06,2
12,39,31.0147,24.9853,28
10,39,0.9736,0.0264,0.5
9,39,5.3157,2.6843,4
6,39,1.6681,0.3319,1
8,39,1.6681,0.3319,1
11,39,9.8216,6.1784,8
1,39,5.3157,2.6843,4
13,39,17.3975,12.6025,15
3,39,26.8676,21.1324,24
1,40,5.3157,2.6843,4
16,40,1.6681,0.3319,1
5,40,14.1819,9.8181,12
4,40,9.8216,6.1784,8
3,40,27.9074,22.0926,25
8,40,1.6681,0.3319,1
2,40,4.734,2.266,3.5
15,40,2.94,1.06,2
9,40,5.3157,2.6843,4
12,40,32.0467,25.9533,29
10,40,1.6681,0.3319,1
6,40,2.3161,0.6839,1.5
11,40,9.8216,6.1784,8
8,41,2.3014,0.6986,1.5
13,41,14.1426,9.8574,12
7,41,16.2878,11.7122,14
3,41,18.4172,13.5828,16
12,41,28.8921,23.1079,26
11,41,9.7887,6.2113,8
6,41,2.3014,0.6986,1.5
10,41,0.9651,0.0349,0.5
9,41,5.292,2.708,4
2,41,3.5294,1.4706,2.5
16,41,1.656,0.344,1
4,41,9.7887,6.2113,8
1,41,5.292,2.708,4
15,41,1.656,0.344,1
1,42,5.3157,2.6843,4
2,42,5.3157,2.6843,4
15,42,2.94,1.06,2
9,42,5.3157,2.6843,4
10,42,1.6681,0.3319,1
11,42,9.8216,6.1784,8
16,42,1.6681,0.3319,1
12,42,33.0769,26.9231,30
4,42,9.8216,6.1784,8
3,42,27.9074,22.0926,25
6,42,2.3161,0.6839,1.5
8,42,2.3161,0.6839,1.5
14,42,12.0143,7.9857,10
12,43,29.0898,22.9102,26
6,43,4.2016,1.7984,3
2,43,6.5352,3.4648,5
11,43,8.7973,5.2027,7
9,43,2.9862,1.0138,2
1,43,8.7973,5.2027,7
4,43,9.911,6.089,8
5,43,17.5153,12.4847,15
8,43,1.7009,0.2991,1
10,43,1.7009,0.2991,1
3,43,28.0502,21.9498,25
1,44,8.7973,5.2027,7
14,44,11.0159,6.9841,9
3,44,29.0898,22.9102,26
9,44,4.2016,1.7984,3
8,44,1.7009,0.2991,1
4,44,9.911,6.089,8
10,44,1.7009,0.2991,1
11,44,9.911,6.089,8
2,44,7.6729,4.3271,6
6,44,4.2016,1.7984,3
12,44,31.1628,24.8372,28
10,45,1.6965,0.3035,1
1,45,8.786,5.214,7
6,45,4.1941,1.8059,3
4,45,9.8991,6.1009,8
3,45,28.0311,21.9689,25
13,45,18.5662,13.4338,16
9,45,2.98,1.02,2
2,45,6.5256,3.4744,5
8,45,1.6965,0.3035,1
12,45,28.0311,21.9689,25
11,45,8.786,5.214,7
10,46,1.6922,0.3078,1
6,46,4.1867,1.8133,3
11,46,9.8873,6.1127,8
2,46,2.9739,1.0261,2
12,46,26.9711,21.0289,24
8,46,1.6922,0.3078,1
3,46,22.7827,17.2173,20
1,46,7.6521,4.3479,6
7,46,12.087,7.913,10
4,46,8.775,5.225,7
13,46,17.484,12.516,15
9,46,4.1867,1.8133,3
15,47,1.6149,0.3851,1
4,47,7.4676,4.5324,6
6,47,1.6149,0.3851,1
16,47,1.6149,0.3851,1
19,47,1.6149,0.3851,1
13,47,16.1442,11.8558,14
11,47,12.9335,9.0665,11
3,47,30.7746,25.2254,28
1,47,8.5767,5.4233,7
2,47,4.0542,1.9458,3
8,47,1.6149,0.3851,1
20,47,0,0,0
10,47,1.6149,0.3851,1
12,47,27.6758,22.3242,25
15,48,1.6149,0.3851,1
12,48,30.7746,25.2254,28
4,48,7.4676,4.5324,6
20,48,1.6149,0.3851,1
24,48,11.8539,8.1461,10
2,48,4.0542,1.9458,3
3,48,30.7746,25.2254,28
1,48,8.5767,5.4233,7
11,48,12.9335,9.0665,11
19,48,1.6149,0.3851,1
6,48,1.6149,0.3851,1
16,48,1.6149,0.3851,1
8,48,1.6149,0.3851,1
10,48,1.6149,0.3851,1
25,49,9.631,6.369,8
3,49,26.5676,21.4324,24
4,49,9.631,6.369,8
19,49,2.8417,1.1583,2
26,49,5.1781,2.8219,4
10,49,2.8417,1.1583,2
15,49,4.0256,1.9744,3
8,49,1.5982,0.4018,1
11,49,15.0218,10.9782,13
2,49,9.631,6.369,8
12,49,27.6032,22.3968,25
6,49,2.8417,1.1583,2
13,50,19.2008,14.7992,17
10,50,3.4147,1.5853,2.5
11,50,11.7576,8.2424,10
12,50,25.4656,20.5344,23
6,50,1.5829,0.4171,1
2,50,6.8357,4.1643,5.5
4,50,9.5895,6.4105,8
27,50,6.2769,3.7231,5
3,50,26.5022,21.4978,24
19,50,0.9132,0.0868,0.5
8,50,1.5829,0.4171,1
15,50,3.4147,1.5853,2.5
15,51,4.6194,2.3806,3.5
26,51,5.1935,2.8065,4
3,51,28.6716,23.3284,26
6,51,2.2403,0.7597,1.5
28,51,9.6524,6.3476,8
11,51,13.9793,10.0207,12
12,51,28.6716,23.3284,26
4,51,9.6524,6.3476,8
19,51,2.8527,1.1473,2
8,51,1.606,0.394,1
10,51,2.8527,1.1473,2
2,51,7.4465,4.5535,6
8,52,2.233,0.767,1.5
19,52,2.8442,1.1558,2
2,52,7.9866,5.0134,6.5
12,52,28.645,23.355,26
11,52,17.1532,12.8468,15
10,52,3.4415,1.5585,2.5
15,52,4.6082,2.3918,3.5
3,52,26.5754,21.4246,24
13,52,21.3656,16.6344,19
19,53,2.2286,0.7714,1.5
3,53,28.6291,23.3709,26
13,53,20.3027,15.6973,18
8,53,2.8391,1.1609,2
1,53,15.0157,10.9843,13
12,53,27.5954,22.4046,25
2,53,8.5293,5.4707,7
10,53,4.6015,2.3985,3.5
15,53,5.1745,2.8255,4
4,54,9.6322,6.3678,8
6,54,1.5986,0.4014,1
11,54,12.8825,9.1175,11
26,54,5.179,2.821,4
12,54,27.6052,22.3948,25
10,54,2.8423,1.1577,2
19,54,1.5986,0.4014,1
3,54,29.6711,24.3289,27
2,54,8.5351,5.4649,7
8,54,1.5986,0.4014,1
15,54,2.8423,1.1577,2
5,54,12.8825,9.1175,11
15,55,2.822,1.178,2
4,55,8.4981,5.5019,7
10,55,2.822,1.178,2
13,55,18.1525,13.8475,16
6,55,1.5842,0.4158,1
12,55,25.4709,20.5291,23
11,55,11.7614,8.2386,10
2,55,7.3944,4.6056,6
8,55,1.5842,0.4158,1
3,55,26.5076,21.4924,24
19,55,1.5842,0.4158,1
29,55,8.4981,5.5019,7
4,56,15.0404,10.9596,13
10,56,4.615,2.385,3.5
15,56,5.1889,2.8111,4
12,56,28.6613,23.3387,26
19,56,1.6037,0.3963,1
2,56,7.4409,4.5591,6
3,56,28.6613,23.3387,26
8,56,2.2375,0.7625,1.5
13,56,21.3802,16.6198,19
24,57,16.072,11.928,14
8,57,1.5941,0.4059,1
12,57,26.5503,21.4497,24
26,57,6.3014,3.6986,5
10,57,2.2258,0.7742,1.5
19,57,1.5941,0.4059,1
6,57,1.5941,0.4059,1
4,57,9.62,6.38,8
15,57,3.4323,1.5677,2.5
3,57,27.5857,22.4143,25
11,57,12.8684,9.1316,11
2,57,7.4181,4.5819,6
3,58,26.5277,21.4723,24
26,58,5.1598,2.8402,4
11,58,13.9233,10.0767,12
8,58,1.5889,0.4111,1
4,58,9.0589,5.9411,7.5
6,58,1.5889,0.4111,1
15,58,2.8286,1.1714,2
10,58,2.2194,0.7806,1.5
2,58,6.2899,3.7101,5
13,58,18.1698,13.8302,16
19,58,1.5889,0.4111,1
12,58,27.5628,22.4372,25
3,59,26.5185,21.4815,24
15,59,2.8256,1.1744,2
12,59,25.4817,20.5183,23
11,59,12.8451,9.1549,11
4,59,7.4005,4.5995,6
19,59,0.9159,0.0841,0.5
1,59,10.6876,7.3124,9
6,59,1.5867,0.4133,1
13,59,17.6342,13.3658,15.5
2,59,6.8444,4.1556,5.5
8,59,1.5867,0.4133,1
10,59,2.2168,0.7832,1.5
6,60,3.0966,0.9034,2
1,60,6.7071,3.2929,5
2,60,4.9395,2.0605,3.5
11,60,11.2415,6.7585,9
12,60,29.4356,22.5644,26
4,60,7.2857,3.7143,5.5
3,60,31.5168,24.4832,28
19,60,0,0,0
20,60,0,0,0
15,60,1.0525,-0.0525,0.5
7,60,7.2857,3.7143,5.5
13,60,16.1766,10.8234,13.5
8,60,1.0525,-0.0525,0.5
10,60,1.7793,0.2207,1
9,61,3.9743,2.0257,3
8,61,1.5683,0.4317,1
1,61,6.2447,3.7553,5
4,61,9.5494,6.4506,8
3,61,21.2405,16.7595,19
2,61,3.9743,2.0257,3
7,61,13.8559,10.1441,12
10,61,1.5683,0.4317,1
11,61,10.6345,7.3655,9
13,61,14.9207,11.0793,13
6,61,2.7996,1.2004,2
12,61,26.4392,21.5608,24
3,62,22.2705,17.7295,20
10,62,1.5648,0.4352,1
6,62,2.7947,1.2053,2
2,62,3.9683,2.0317,3
11,62,10.6245,7.3755,9
1,62,7.3481,4.6519,6
12,62,26.4243,21.5757,24
8,62,1.5648,0.4352,1
5,62,12.7761,9.2239,11
7,62,13.8446,10.1554,12
4,62,9.5399,6.4601,8
9,62,3.9683,2.0317,3
4,63,9.5591,6.4409,8
6,63,2.8046,1.1954,2
1,63,7.3648,4.6352,6
12,63,27.4885,22.5115,25
8,63,1.5718,0.4282,1
10,63,2.8046,1.1954,2
3,63,28.5208,23.4792,26
9,63,3.9803,2.0197,3
2,63,5.1261,2.8739,4
11,63,10.6446,7.3554,9
13,63,15.9941,12.0059,14
7,64,13.8559,10.1441,12
2,64,3.9743,2.0257,3
11,64,10.6345,7.3655,9
10,64,1.5683,0.4317,1
12,64,27.473,22.527,25
6,64,2.7996,1.2004,2
3,64,23.3262,18.6738,21
1,64,7.3563,4.6437,6
9,64,3.9743,2.0257,3
4,64,9.5494,6.4506,8
8,64,1.5683,0.4317,1
